upc,date_adj,haspromo,units_adj
84654802072,20210706,0,0
64556901017,20210706,0,0
1200017149,20210706,0,0
8017137000058,20210706,0,0
89618000102,20210706,0,0
20282800000,20210706,0,0
85804500444,20210706,0,0
6011,20210706,0,0
3663850002,20210706,0,0
2260022329,20210706,0,0
4133102133,20210706,0,0
7065000404,20210706,0,0
64499613990,20210706,0,0
7047043332,20210706,0,0
7896004400327,20210706,0,0
8992779257506,20210706,0,0
82699803060,20210706,0,0
1996266063,20210706,0,0
20093300000,20210706,0,0
7441056200014,20210706,0,0
7128100760,20210706,0,0
74595730150,20210706,0,0
85785300217,20210706,0,0
27082900000,20210706,0,197
1600043779,20210706,0,17
20748700000,20210706,0,32
28681700000,20210706,0,3
85564800637,20210706,0,3
9426241343,20210706,0,10
1115330124,20210706,0,4
689,20210706,0,12
4190007919,20210706,0,21
62,20210706,0,79
4133112741,20210706,0,2
76738703420,20210706,0,3
5150000087,20210706,0,3
20108500000,20210706,0,29
7040400117,20210706,1,26
3800024383,20210706,0,13
78533177830,20210706,0,3
7506200109,20210706,0,2
81029100230,20210706,0,11
4450096650,20210706,0,14
28083500000,20210706,0,11
1115306112,20210706,0,12
3800078704,20210706,0,14
85977200512,20210706,0,2
4100073148,20210706,1,14
1115314850,20210706,0,7
2800023317,20210706,0,2
2362753112,20210706,0,1
3000031597,20210706,0,19
7127910808,20210706,0,25
20709500000,20210706,0,2
7778202396,20210706,0,5
8831300451,20210706,0,2
85123900205,20210706,0,1
7431202832,20210706,0,2
64944000312,20210706,0,1
79042923230,20210706,0,5
76777800101,20210706,0,2
2558300422,20210706,0,8
24028600000,20210706,0,4
7756700224,20210706,1,13
8000050026489,20210706,0,2
1500000639,20210706,0,6
1820053308,20210706,0,5
4133101501,20210706,0,2
4450020181,20210706,0,8
3620001498,20210706,0,4
81582901006,20210706,0,1
7240008060,20210706,0,1
20521800000,20210706,0,16
7169140528,20210706,0,3
1200017232,20210706,1,6
32390004120,20210706,0,2
81594400541,20210706,0,3
61864531525,20210706,0,1
85000867808,20210706,0,1
7007457802,20210706,0,2
26585100000,20210706,0,4
7059460138,20210706,0,1
73525701326,20210706,0,7
25080000000,20210706,0,29
20669000000,20210706,0,3
72450036736,20210706,0,1
85954600425,20210706,0,4
9849313150,20210706,0,2
4695,20210706,0,1
70942181178,20210706,0,1
30045020431,20210706,0,2
21483900000,20210706,0,3
7314907470,20210706,0,1
7790100404,20210706,0,1
4118804161,20210706,0,1
7231000098,20210706,0,1
5201010103056,20210706,0,1
7005735161,20210706,0,1
1428631001,20210706,0,1
1380014333,20210706,0,1
72649316242,20210706,0,1
80000000052,20210706,0,2
7910052040,20210706,0,1
84654802077,20210706,0,1
81083302272,20210706,0,1
84654805999,20210706,0,1
76348538956,20210706,0,1
25089600000,20210706,0,0
8517800068,20210706,0,0
3060320240,20210706,0,0
4138809701,20210706,0,0
7506226026,20210706,0,0
85983600385,20210706,0,0
7410880058,20210706,0,0
8658100760,20210706,0,0
4012920061,20210706,0,0
61930910111,20210706,0,0
3384400393,20210706,0,0
3010011233,20210706,0,0
76908700429,20210706,0,0
9370930110,20210706,0,0
1553210110,20210706,0,0
1674100070,20210706,0,0
3680010616,20210706,0,0
2391315942,20210706,0,0
8992453249,20210706,0,0
2756806022,20210706,0,0
7702011046932,20210707,0,0
60448500590,20210707,0,0
82058198346,20210707,0,0
3398403720,20210707,1,0
87659300004,20210707,0,0
4218702647,20210707,0,0
70366910920,20210707,0,0
7763621510,20210707,0,0
4154828745,20210707,0,0
76361508580,20210707,0,0
7410003712870,20210707,0,0
2700061216,20210707,0,0
7172008503,20210707,0,0
1816,20210707,0,0
7426502301,20210707,0,0
7236827424,20210707,0,0
8949796347,20210707,0,0
75365671875,20210707,0,0
6906500085,20210707,0,0
